run_id,episode,episode_reward,avg_reward_20ep,avg_loss,epsilon,action_off,action_cool,action_heat,lr,gamma,epsilon_decay,batch_size,buffer_capacity
a39e8264f59c44bdb9cee0d82cafd053,150,-64.835,-296.2881,118.8711,0.4715,6,17,1,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,151,-676.8415,-324.8978,246.3356,0.4691,5,12,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,152,-398.9826,-340.678,144.6725,0.4668,1,15,8,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,153,-258.0924,-323.1671,171.306,0.4644,7,14,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,154,-46.1683,-313.6851,120.4697,0.4621,2,19,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,155,-205.8234,-322.9988,114.341,0.4598,4,16,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,156,-658.6941,-347.0102,137.3804,0.4575,5,13,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,157,-36.8004,-337.3271,151.4716,0.4552,4,17,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,158,-228.9104,-325.4058,125.19,0.4529,4,17,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,159,-199.8254,-308.4085,111.7473,0.4507,2,16,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,160,-46.0902,-303.0149,114.7467,0.4484,4,17,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,161,-29.2353,-297.0637,122.4592,0.4462,1,20,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,162,-489.3779,-267.8483,105.1852,0.444,3,15,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,163,-157.6196,-268.4589,129.2445,0.4417,7,15,2,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,164,-126.2011,-254.6769,98.9421,0.4395,2,16,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,165,-50.2783,-251.2864,121.457,0.4373,2,17,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,166,-216.3421,-236.7648,100.3149,0.4351,6,16,2,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,167,-131.9146,-221.9502,99.567,0.433,4,17,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,168,-15.0294,-214.2548,121.7756,0.4308,3,19,2,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,169,-18.2794,-203.1996,97.8906,0.4286,1,19,4,0.001,0.99,0.995,64,10000
